GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prueba-nexos,com.bank.inc.prueba_nexos.application.usecase,CardUseCase,0,65,0,0,0,17,0,6,0,6
prueba-nexos,com.bank.inc.prueba_nexos.application.usecase,TransactionUseCase,0,77,0,0,0,17,0,4,0,4
prueba-nexos,com.bank.inc.prueba_nexos.domain.enums,CardStatus,0,27,0,0,0,5,0,1,0,1
prueba-nexos,com.bank.inc.prueba_nexos.domain.enums,Currency,0,15,0,0,0,2,0,1,0,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.web.controller,CardController,48,6,0,0,5,3,5,1,5,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.web.controller,TransactionController,27,6,0,0,3,3,3,1,3,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.adapter.postgres.mapper,CardMapper,0,104,0,0,0,36,0,5,0,5
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.adapter.postgres.mapper,TransactionMapper,0,63,0,0,0,24,0,4,0,4
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.web.request,CardRequest,0,9,0,0,0,1,0,1,0,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.web.request,TransactionRequest,0,9,0,0,0,1,0,1,0,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.web.request,TransactionAnulationRequest,0,9,0,0,0,1,0,1,0,1
prueba-nexos,com.bank.inc.prueba_nexos.domain.Rules,DomainRules,8,97,1,19,2,25,2,14,1,5
prueba-nexos,com.bank.inc.prueba_nexos,PruebaNexosApplication,5,3,0,0,2,1,1,1,1,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.helper.excepciones,GlobalExcepcion,12,3,0,0,2,1,1,1,1,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.helper.excepciones,BusinessException,0,4,0,0,0,2,0,1,0,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.adapter.postgres.adapter,CardRepositoryAdapter,44,9,0,0,5,4,4,1,4,1
prueba-nexos,com.bank.inc.prueba_nexos.infrastructure.adapter.postgres.adapter,TransactionRepositoryAdapter,41,9,0,0,4,4,4,1,4,1
